Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,NumberOfCars,Year,BasePolicy,FraudFound_P
Chevrolet,Urban,Jan,Male,Married,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,1 vehicle,1994,Liability,1
Chevrolet,Urban,Feb,Male,Married,53,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Feb,Female,Married,41,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,Feb,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,less than 20000,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,2 vehicles,1994,Collision,0
Honda,Urban,Feb,Male,Married,41,Third Party,Sedan - Collision,Sedan,less than 20000,1,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Feb,Male,Married,34,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,1,5 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Mazda,Rural,Jan,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,4,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,1
Ford,Urban,Jan,Male,Married,49,Policy Holder,Sedan - Liability,Sport,40000 to 59000,4,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Feb,Male,Single,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Feb,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Feb,Male,Married,51,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,3 to 4,1994,Collision,1
Pontiac,Urban,Feb,Male,Married,80,Third Party,Sedan - All Perils,Sedan,less than 20000,2,more than 30,more than 30,1,more than 7,over 65,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Mar,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Jan,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,1
Saab,Urban,Feb,Male,Single,31,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Married,37,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,1
Chevrolet,Urban,Mar,Male,Married,57,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Mar,Female,Single,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Feb,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jan,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,4,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,All Perils,1
Pontiac,Urban,Mar,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,Mar,Male,Married,49,Policy Holder,Utility - All Perils,Utility,more than 69000,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Mar,Male,Married,50,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Mar,Male,Married,48,Third Party,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,2 vehicles,1994,Collision,0
Toyota,Urban,Mar,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Apr,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Feb,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,2,more than 30,more than 30,none,new,16 to 17,No,No,1 vehicle,1994,Liability,0
Chevrolet,Urban,Feb,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,8 to 15,15 to 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,0
Pontiac,Rural,Feb,Male,Married,72,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,1 vehicle,1994,All Perils,0
VW,Urban,Feb,Male,Married,51,Third Party,Sedan - Liability,Sport,more than 69000,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
VW,Rural,Feb,Male,Single,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Feb,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,7 years,41 to 50,No,No,1 vehicle,1994,Collision,0
Accura,Urban,Feb,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Married,29,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,1
Honda,Urban,Feb,Male,Married,31,Policy Holder,Sport - Collision,Sport,more than 69000,1,more than 30,more than 30,none,5 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Feb,Female,Married,38,Policy Holder,Sedan - All Perils,Sedan,less than 20000,3,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
VW,Urban,Feb,Male,Married,42,Third Party,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Feb,Female,Married,38,Third Party,Sedan - All Perils,Sedan,less than 20000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,May,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,less than 20000,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Apr,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Aug,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jan,Male,Married,51,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,1
Pontiac,Rural,Jul,Female,Widow,56,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,1,7 years,51 to 65,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Dec,Male,Married,27,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Oct,Male,Married,80,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2,more than 30,more than 30,none,more than 7,over 65,No,No,2 vehicles,1994,All Perils,0
Pontiac,Urban,Aug,Female,Single,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Mar,Male,Married,50,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Mar,Female,Married,45,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,1,5 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Apr,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,May,Male,Married,33,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,4,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Rural,Apr,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,7 years,51 to 65,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Oct,Male,Married,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,7 years,31 to 35,No,No,3 to 4,1994,Collision,0
Mazda,Urban,Sep,Male,Single,33,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Aug,Male,Single,23,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,none,5 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Apr,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,none,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Mazda,Rural,Jun,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jun,Male,Married,44,Third Party,Sedan - All Perils,Sedan,less than 20000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jun,Male,Married,65,Third Party,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,6 years,51 to 65,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Oct,Male,Married,45,Third Party,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Nov,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jul,Male,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Jun,Male,Single,24,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,1,5 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,May,Female,Married,50,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Aug,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Aug,Male,Married,51,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,more than 30,more than 30,none,6 years,41 to 50,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Jun,Male,Single,35,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,none,7 years,31 to 35,No,No,2 vehicles,1994,Collision,0
Toyota,Urban,Sep,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,less than 20000,2,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Sep,Male,Married,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Sep,Male,Single,27,Third Party,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,none,2 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jan,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Nov,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Jul,Female,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Ford,Urban,Jul,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Jun,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Jun,Male,Married,33,Third Party,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Sep,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Rural,Nov,Female,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,1 vehicle,1994,Collision,0
Mazda,Rural,Sep,Male,Married,26,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Jul,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jun,Male,Married,46,Third Party,Sedan - All Perils,Sedan,30000 to 39000,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Urban,Sep,Male,Married,32,Policy Holder,Sedan - Liability,Sport,more than 69000,4,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Accura,Urban,Dec,Male,Single,28,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Jul,Male,Married,64,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jan,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,1 vehicle,1994,All Perils,1
Honda,Urban,Nov,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Nov,Male,Married,33,Third Party,Sedan - All Perils,Sedan,20000 to 29000,1,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Pontiac,Rural,Apr,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,2 vehicles,1994,Collision,0
Pontiac,Urban,Apr,Male,Single,30,Third Party,Sedan - Liability,Sport,30000 to 39000,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Rural,Jun,Male,Single,29,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jul,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Jun,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,4,more than 30,more than 30,2 to 4,new,16 to 17,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jun,Male,Married,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,4,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Jun,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2,more than 30,more than 30,1,7 years,36 to 40,No,No,3 to 4,1994,Liability,0
Honda,Urban,Apr,Male,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Jan,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,less than 20000,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,1 vehicle,1994,Collision,1
Ford,Urban,Feb,Female,Married,45,Third Party,Sedan - Collision,Sedan,40000 to 59000,4,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Mar,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,more than 69000,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Jun,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Oct,Female,Married,47,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Nov,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Oct,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Chevrolet,Rural,Sep,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Jul,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,none,6 years,36 to 40,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Jul,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Nov,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Nov,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,7 years,41 to 50,No,No,1 vehicle,1994,All Perils,0
Ford,Urban,Jun,Male,Married,33,Policy Holder,Sedan - Liability,Sport,30000 to 39000,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Pontiac,Rural,May,Male,Married,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,2 vehicles,1994,Collision,0
Pontiac,Urban,Apr,Female,Married,45,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,none,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Ford,Urban,Nov,Male,Married,59,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,Collision,0
Mazda,Urban,Nov,Male,Single,29,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Mazda,Urban,Nov,Male,Single,46,Policy Holder,Sedan - Liability,Sport,20000 to 29000,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Apr,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Nov,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Dec,Male,Single,24,Policy Holder,Sport - Collision,Sport,more than 69000,3,more than 30,more than 30,none,5 years,26 to 30,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Aug,Female,Married,40,Third Party,Sedan - Collision,Sedan,more than 69000,3,more than 30,more than 30,1,6 years,36 to 40,Yes,No,1 vehicle,1994,Collision,0
Toyota,Urban,Aug,Male,Married,45,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,1 vehicle,1994,Collision,0
Pontiac,Urban,Jul,Male,Married,76,Third Party,Sedan - Liability,Sport,20000 to 29000,4,more than 30,more than 30,none,more than 7,over 65,Yes,No,1 vehicle,1994,Liability,0
Pontiac,Rural,Apr,Male,Married,49,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,1 vehicle,1994,All Perils,0
Toyota,Urban,Mar,Male,Married,31,Third Party,Sedan - All Perils,Sedan,30000 to 39000,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Feb,Male,Single,32,Third Party,Sport - Collision,Sport,more than 69000,4,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,Dec,Female,Married,44,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,3 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Rural,Dec,Male,Married,65,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2,more than 30,more than 30,1,more than 7,51 to 65,No,No,1 vehicle,1994,All Perils,0
Mazda,Urban,Jan,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,1 vehicle,1994,Collision,1
Toyota,Urban,Nov,Male,Single,34,Policy Holder,Sedan - Liability,Sport,less than 20000,3,more than 30,more than 30,none,7 years,31 to 35,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,May,Male,Married,55,Third Party,Sedan - Collision,Sedan,20000 to 29000,2,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,1 vehicle,1994,Collision,0
Chevrolet,Rural,Jan,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,Liability,1
Pontiac,Rural,May,Male,Married,28,Third Party,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Sep,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,2 vehicles,1994,All Perils,0
Pontiac,Urban,Nov,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,3,more than 30,more than 30,none,6 years,31 to 35,No,No,1 vehicle,1994,All Perils,0
Saturn,Rural,Nov,Male,Married,43,Policy Holder,Sedan - Liability,Sport,40000 to 59000,2,15 to 30,15 to 30,more than 4,7 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Toyota,Urban,Sep,Male,Married,38,Policy Holder,Sedan - Liability,Sport,20000 to 29000,1,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,1 vehicle,1994,Liability,0
Honda,Urban,Sep,Male,Married,22,Policy Holder,Sedan - All Perils,Sedan,less than 20000,2,more than 30,more than 30,1,5 years,26 to 30,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Aug,Male,Married,46,Policy Holder,Sedan - Liability,Sport,less than 20000,3,more than 30,more than 30,1,more than 7,41 to 50,No,No,3 to 4,1994,Liability,0
Accura,Urban,Oct,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,1 vehicle,1994,Collision,0
Saturn,Urban,Oct,Male,Married,39,Third Party,Sedan - All Perils,Sedan,20000 to 29000,4,more than 30,more than 30,1,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Pontiac,Urban,Mar,Male,Married,37,Third Party,Sedan - All Perils,Sedan,30000 to 39000,4,15 to 30,more than 30,2 to 4,7 years,36 to 40,No,No,1 vehicle,1994,All Perils,0
Honda,Urban,Apr,Male,Single,0,Third Party,Sedan - Liability,Sport,more than 69000,3,more than 30,more than 30,1,new,16 to 17,No,No,1 vehicle,1994,Liability,0
Pontiac,Urban,Jan,Male,Married,71,Third Party,Sedan - Collision,Sedan,less than 20000,3,more than 30,more than 30,2 to 4,7 years,over 65,No,No,1 vehicle,1994,Collision,0
Honda,Urban,Dec,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,more than 30,more than 30,1,5 years,31 to 35,No,No,1 vehicle,1994,Collision,0
VW,Urban,Aug,Male,Married,35,Third Party,Sedan - All Perils,Sedan,60000 to 69000,4,more than 30,more than 30,1,7 years,31 to 35,No,No,1 vehicle,1994,All Perils,1
Mazda,Urban,Dec,Female,Married,47,Third Party,Sedan - Collision,Sedan,more than 69000,1,more than 30,more than 30,1,7 years,41 to 50,No,No,1 vehicle,1994,Collision,0
Toyota,Urban,May,Male,Married,34,Third Party,Sedan - Collision,Sedan,20000 to 29000,3,more than 30,more than 30,1,6 years,31 to 35,No,No,1 vehicle,1994,Collision,0
Chevrolet,Urban,Jan,Male,Married,78,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,3,more than 30,more than 30,1,more than 7,over 65,No,No,1 vehicle,1994,Collision,1
