Month,MonthClaimed,Sex,Fault,PolicyType,PolicyNumber,Deductible,AddressChange_Claim,BasePolicy,FraudFound_P
Jan,Jan,Male,Third Party,Sedan - All Perils,2001,400,no change,All Perils,0
Jan,Feb,Female,Third Party,Sedan - Liability,2002,400,no change,Liability,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,2003,400,1 year,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - All Perils,2004,400,no change,All Perils,1
Jan,Jan,Male,Policy Holder,Sedan - Liability,2005,400,no change,Liability,0
Jan,Jan,Male,Third Party,Sedan - Liability,2006,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sport - Collision,2007,400,no change,Collision,0
Dec,Dec,Male,Policy Holder,Sedan - All Perils,2008,400,no change,All Perils,0
Dec,Dec,Male,Third Party,Sedan - All Perils,2009,400,no change,All Perils,0
Dec,Feb,Female,Policy Holder,Sedan - Collision,2010,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - All Perils,2011,400,no change,All Perils,0
Nov,Jan,Male,Policy Holder,Sedan - Collision,2012,400,no change,Collision,0
Dec,Jan,Male,Policy Holder,Utility - Liability,2013,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,2014,400,no change,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - Liability,2015,400,no change,Liability,0
Feb,Feb,Male,Third Party,Sedan - Liability,2016,700,no change,Liability,0
Mar,Apr,Male,Third Party,Sedan - All Perils,2017,400,4 to 8 years,All Perils,0
Mar,Apr,Male,Third Party,Sedan - Collision,2018,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,2019,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,2020,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2021,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2022,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,2023,400,no change,All Perils,0
Aug,Sep,Male,Third Party,Sport - Collision,2024,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2025,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,2026,400,no change,Liability,0
Mar,Mar,Female,Policy Holder,Sedan - Liability,2027,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Utility - All Perils,2028,400,no change,All Perils,1
Mar,Mar,Male,Policy Holder,Sedan - Liability,2029,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2030,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,2031,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - All Perils,2032,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sport - Collision,2033,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2034,400,no change,Liability,0
Feb,Feb,Female,Third Party,Sedan - Liability,2035,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,2036,400,no change,Collision,0
May,May,Male,Third Party,Sedan - All Perils,2037,400,no change,All Perils,0
May,May,Male,Third Party,Sedan - Collision,2038,400,4 to 8 years,Collision,0
May,May,Male,Policy Holder,Utility - All Perils,2039,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2040,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - Collision,2041,500,2 to 3 years,Collision,1
Mar,Mar,Male,Policy Holder,Sedan - Collision,2042,400,no change,Collision,1
Mar,Mar,Male,Third Party,Sedan - All Perils,2043,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2044,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,2045,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,2046,400,no change,Liability,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,2047,700,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - All Perils,2048,400,no change,All Perils,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,2049,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,2050,400,no change,All Perils,0
Nov,Feb,Male,Policy Holder,Sedan - Collision,2051,400,no change,Collision,0
Feb,Mar,Male,Third Party,Sedan - Collision,2052,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,2053,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2054,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2055,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,2056,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2057,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,2058,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2059,400,4 to 8 years,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2060,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2061,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2062,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2063,400,no change,Liability,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,2064,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,2065,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2066,400,no change,Collision,1
Sep,Sep,Female,Policy Holder,Sedan - Collision,2067,400,no change,Collision,0
May,Jun,Female,Policy Holder,Sedan - Liability,2068,400,no change,Liability,0
May,May,Male,Third Party,Sedan - Collision,2069,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,2070,400,no change,Collision,0
Jun,Jun,Female,Policy Holder,Sedan - All Perils,2071,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,2072,400,no change,Liability,0
Jul,Jul,Male,Policy Holder,Utility - All Perils,2073,400,no change,All Perils,0
Jun,Jul,Male,Third Party,Sedan - Collision,2074,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2075,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - Collision,2076,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,2077,400,no change,All Perils,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,2078,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,2079,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Utility - All Perils,2080,400,4 to 8 years,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2081,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,2082,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2083,400,no change,Liability,0
May,May,Female,Policy Holder,Sedan - Liability,2084,400,no change,Liability,0
May,May,Female,Policy Holder,Sedan - Liability,2085,400,no change,Liability,0
Jul,Jul,Male,Third Party,Sedan - All Perils,2086,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2087,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,2088,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,2089,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2090,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Collision,2091,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,2092,500,2 to 3 years,Liability,0
Oct,Nov,Male,Policy Holder,Sedan - Collision,2093,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,2094,400,1 year,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,2095,400,no change,Liability,0
Jul,Aug,Male,Third Party,Sedan - Collision,2096,400,no change,Collision,0
Jun,Jun,Female,Policy Holder,Sedan - Collision,2097,400,no change,Collision,0
Jun,Jul,Male,Policy Holder,Sedan - All Perils,2098,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2099,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - All Perils,2100,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - All Perils,2101,400,4 to 8 years,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2102,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Liability,2103,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2104,400,no change,Collision,1
Feb,Feb,Female,Policy Holder,Sedan - Liability,2105,400,no change,Liability,0
Feb,Feb,Male,Third Party,Sedan - All Perils,2106,400,no change,All Perils,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,2107,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Liability,2108,400,no change,Liability,0
Nov,Nov,Female,Third Party,Sedan - Liability,2109,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,2110,400,no change,Liability,0
Oct,Oct,Male,Third Party,Sedan - Collision,2111,400,no change,Collision,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,2112,400,no change,All Perils,0
Sep,Nov,Male,Policy Holder,Sedan - All Perils,2113,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Utility - All Perils,2114,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Sedan - All Perils,2115,400,no change,All Perils,0
Aug,Sep,Male,Policy Holder,Utility - All Perils,2116,400,no change,All Perils,0
Mar,Mar,Male,Third Party,Sedan - All Perils,2117,400,no change,All Perils,0
May,May,Female,Policy Holder,Sedan - Collision,2118,400,no change,Collision,0
May,May,Female,Policy Holder,Sedan - Collision,2119,400,no change,Collision,0
May,Jun,Male,Policy Holder,Sedan - Liability,2120,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Liability,2121,400,no change,Liability,0
Apr,May,Female,Policy Holder,Sedan - Liability,2122,400,4 to 8 years,Liability,0
Apr,May,Female,Third Party,Sedan - Collision,2123,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Utility - Liability,2124,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - Liability,2125,400,no change,Liability,0
Jul,Jan,Male,Policy Holder,Sedan - Collision,2126,400,no change,Collision,0
May,Feb,Male,Policy Holder,Sedan - Collision,2127,400,no change,Collision,0
Mar,Mar,Female,Third Party,Sedan - Collision,2128,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2129,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sport - Collision,2130,400,no change,Collision,0
Apr,Apr,Female,Policy Holder,Sedan - Collision,2131,400,no change,Collision,0
Sep,Nov,Male,Policy Holder,Sedan - All Perils,2132,400,no change,All Perils,0
Sep,Sep,Female,Policy Holder,Sedan - Liability,2133,400,no change,Liability,0
Nov,Nov,Male,Third Party,Sport - Collision,2134,400,no change,Collision,0
Sep,Sep,Male,Third Party,Sedan - Collision,2135,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sedan - All Perils,2136,400,no change,All Perils,0
Jul,Aug,Male,Policy Holder,Sedan - All Perils,2137,400,no change,All Perils,0
Jul,Jul,Male,Third Party,Sport - Collision,2138,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,2139,400,no change,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Collision,2140,700,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - All Perils,2141,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2142,400,no change,All Perils,1
Jun,Jul,Male,Third Party,Sedan - Liability,2143,500,2 to 3 years,Liability,1
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2144,400,no change,All Perils,1
Jun,Jul,Male,Policy Holder,Utility - All Perils,2145,400,no change,All Perils,0
May,May,Female,Third Party,Sedan - Collision,2146,400,no change,Collision,0
Apr,May,Male,Third Party,Sedan - Collision,2147,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,2148,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - All Perils,2149,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2150,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2151,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - All Perils,2152,400,no change,All Perils,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,2153,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Liability,2154,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - All Perils,2155,400,no change,All Perils,0
Sep,Oct,Male,Policy Holder,Sedan - Collision,2156,400,no change,Collision,0
Sep,Nov,Male,Policy Holder,Sedan - All Perils,2157,400,no change,All Perils,0
Sep,Sep,Male,Policy Holder,Sedan - Collision,2158,400,no change,Collision,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,2159,400,no change,Collision,0
Aug,Aug,Male,Third Party,Sport - Collision,2160,400,no change,Collision,0
Jul,Aug,Female,Third Party,Sedan - Collision,2161,400,no change,Collision,0
Jun,Jun,Male,Third Party,Sedan - Collision,2162,400,no change,Collision,0
Jun,Jul,Male,Third Party,Sedan - Collision,2163,400,no change,Collision,0
May,Jun,Male,Policy Holder,Sedan - Collision,2164,400,4 to 8 years,Collision,0
Apr,Apr,Male,Third Party,Sedan - Collision,2165,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - All Perils,2166,400,no change,All Perils,0
Apr,May,Male,Policy Holder,Sedan - All Perils,2167,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2168,400,no change,All Perils,1
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2169,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2170,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2171,700,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2172,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,2173,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2174,400,no change,All Perils,1
Nov,Nov,Female,Policy Holder,Sedan - Collision,2175,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - All Perils,2176,400,no change,All Perils,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,2177,400,no change,Liability,0
Sep,Sep,Female,Policy Holder,Sedan - Collision,2178,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - Collision,2179,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2180,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,2181,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - All Perils,2182,400,no change,All Perils,0
Feb,Feb,Female,Third Party,Sedan - Liability,2183,400,no change,Liability,0
Feb,Mar,Male,Policy Holder,Sedan - Liability,2184,400,no change,Liability,0
Feb,Feb,Female,Policy Holder,Sedan - All Perils,2185,400,1 year,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2186,400,no change,Collision,1
May,Jun,Male,Policy Holder,Utility - All Perils,2187,400,no change,All Perils,0
Mar,Apr,Male,Third Party,Sport - Collision,2188,400,no change,Collision,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,2189,400,no change,Collision,0
Mar,Mar,Male,Third Party,Sedan - Liability,2190,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2191,400,no change,All Perils,1
Mar,Mar,Male,Policy Holder,Sedan - Liability,2192,400,no change,Liability,0
Mar,Mar,Male,Third Party,Sedan - Liability,2193,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2194,500,2 to 3 years,Collision,0
Feb,Feb,Male,Third Party,Sedan - All Perils,2195,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sedan - All Perils,2196,400,no change,All Perils,0
Feb,Mar,Male,Third Party,Sedan - All Perils,2197,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Utility - Liability,2198,400,no change,Liability,0
Mar,Mar,Male,Third Party,Sedan - All Perils,2199,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - Liability,2200,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,2201,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2202,700,no change,Liability,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2203,400,no change,All Perils,1
Jan,Feb,Male,Policy Holder,Sedan - Collision,2204,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2205,400,no change,Collision,1
Feb,Feb,Male,Policy Holder,Sedan - Collision,2206,400,4 to 8 years,Collision,0
Feb,Feb,Male,Third Party,Sedan - Collision,2207,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,2208,400,no change,Collision,0
Feb,Feb,Male,Third Party,Sedan - All Perils,2209,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sedan - Collision,2210,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,2211,400,no change,Collision,0
Feb,Mar,Male,Third Party,Sedan - All Perils,2212,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2213,400,no change,Liability,0
Mar,Mar,Male,Third Party,Sedan - Liability,2214,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2215,400,no change,All Perils,0
Jan,Jan,Male,Third Party,Sedan - Liability,2216,400,no change,Liability,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,2217,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,2218,400,no change,Collision,0
Feb,Feb,Female,Policy Holder,Sedan - Collision,2219,400,no change,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2220,400,no change,Liability,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2221,400,no change,Collision,1
Feb,Mar,Male,Policy Holder,Sedan - Collision,2222,400,no change,Collision,0
Mar,Jun,Male,Policy Holder,Sedan - All Perils,2223,400,no change,All Perils,1
Feb,Mar,Female,Third Party,Sedan - All Perils,2224,400,no change,All Perils,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,2225,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sedan - Collision,2226,400,no change,Collision,0
Feb,Mar,Female,Policy Holder,Sedan - Collision,2227,400,4 to 8 years,Collision,0
Feb,Feb,Male,Policy Holder,Sedan - Collision,2228,400,no change,Collision,0
Feb,Mar,Male,Policy Holder,Sedan - Collision,2229,400,no change,Collision,0
Feb,Mar,Female,Policy Holder,Sedan - All Perils,2230,400,no change,All Perils,0
Mar,Mar,Male,Third Party,Sedan - Collision,2231,400,no change,Collision,0
Feb,Mar,Female,Policy Holder,Sedan - Collision,2232,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2233,700,no change,Collision,0
Feb,Mar,Male,Policy Holder,Sedan - All Perils,2234,400,no change,All Perils,0
Feb,Mar,Female,Policy Holder,Sedan - Liability,2235,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - All Perils,2236,400,no change,All Perils,0
Jan,Feb,Male,Policy Holder,Sedan - Collision,2237,400,no change,Collision,0
Jan,Mar,Male,Policy Holder,Sedan - Liability,2238,400,no change,Liability,0
Mar,Apr,Female,Third Party,Sedan - All Perils,2239,400,no change,All Perils,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2240,400,no change,Collision,0
Mar,Aug,Male,Policy Holder,Sedan - All Perils,2241,400,no change,All Perils,1
Feb,Feb,Male,Policy Holder,Sedan - Liability,2242,400,no change,Liability,0
Feb,Feb,Male,Policy Holder,Sedan - Liability,2243,400,no change,Liability,0
Feb,Mar,Male,Policy Holder,Utility - All Perils,2244,400,no change,All Perils,0
Feb,Feb,Male,Third Party,Sedan - Liability,2245,500,2 to 3 years,Liability,0
Feb,Feb,Male,Third Party,Sedan - Collision,2246,400,no change,Collision,0
Feb,Feb,Female,Policy Holder,Sedan - All Perils,2247,400,no change,All Perils,0
Feb,Feb,Female,Policy Holder,Sport - Collision,2248,400,4 to 8 years,Collision,0
Feb,Feb,Male,Third Party,Sedan - Collision,2249,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2250,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - Collision,2251,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sport - Collision,2252,400,no change,Collision,0
Apr,Apr,Male,Third Party,Sedan - All Perils,2253,400,no change,All Perils,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2254,400,no change,All Perils,1
Dec,Dec,Female,Policy Holder,Sedan - All Perils,2255,400,no change,All Perils,0
Apr,Apr,Female,Third Party,Sedan - Collision,2256,400,no change,Collision,0
Mar,Apr,Male,Third Party,Sedan - All Perils,2257,400,no change,All Perils,0
Feb,Mar,Male,Policy Holder,Sedan - Collision,2258,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Collision,2259,400,no change,Collision,0
Apr,Apr,Female,Policy Holder,Sedan - Liability,2260,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2261,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - Collision,2262,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sport - Collision,2263,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Collision,2264,700,no change,Collision,0
Aug,Sep,Male,Third Party,Sedan - All Perils,2265,400,no change,All Perils,0
Aug,Aug,Male,Policy Holder,Utility - Collision,2266,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2267,400,no change,Liability,0
Aug,Sep,Male,Third Party,Sedan - Liability,2268,400,no change,Liability,0
Oct,Oct,Male,Policy Holder,Sedan - Collision,2269,400,4 to 8 years,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,2270,400,no change,Liability,0
Nov,Nov,Female,Policy Holder,Sedan - Collision,2271,400,no change,Collision,0
Mar,Mar,Male,Policy Holder,Sedan - All Perils,2272,400,no change,All Perils,1
Dec,Dec,Male,Policy Holder,Sedan - Liability,2273,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,2274,400,no change,Liability,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,2275,400,no change,Collision,0
Apr,May,Male,Policy Holder,Sedan - Liability,2276,400,1 year,Liability,0
Apr,May,Male,Policy Holder,Sedan - Liability,2277,400,no change,Liability,0
Jun,Jul,Female,Policy Holder,Sedan - All Perils,2278,400,no change,All Perils,0
Jun,Jul,Male,Policy Holder,Sedan - Liability,2279,400,no change,Liability,0
Jun,Jun,Male,Third Party,Sedan - Liability,2280,400,no change,Liability,0
Aug,Aug,Female,Policy Holder,Sedan - Collision,2281,400,no change,Collision,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,2282,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2283,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,2284,400,no change,Collision,0
Aug,Nov,Male,Third Party,Sedan - Collision,2285,400,no change,Collision,0
Apr,May,Male,Policy Holder,Sedan - Liability,2286,400,no change,Liability,0
Jun,Jun,Male,Policy Holder,Sedan - All Perils,2287,400,no change,All Perils,0
May,May,Male,Policy Holder,Sedan - All Perils,2288,400,no change,All Perils,0
Jul,Aug,Male,Third Party,Sedan - Collision,2289,400,no change,Collision,0
Sep,Nov,Male,Third Party,Sedan - Collision,2290,400,4 to 8 years,Collision,0
Sep,Sep,Male,Policy Holder,Utility - All Perils,2291,400,no change,All Perils,0
Sep,Nov,Male,Policy Holder,Sport - Collision,2292,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2293,400,no change,Collision,1
Nov,Dec,Male,Policy Holder,Sedan - All Perils,2294,400,no change,All Perils,0
Nov,Nov,Male,Third Party,Utility - Collision,2295,700,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,2296,500,2 to 3 years,Collision,0
May,Jun,Male,Policy Holder,Sedan - All Perils,2297,400,no change,All Perils,0
May,Jun,Male,Policy Holder,Sedan - Collision,2298,400,no change,Collision,0
May,Jul,Male,Policy Holder,Sedan - All Perils,2299,400,no change,All Perils,0
Jun,Jun,Male,Third Party,Sport - Collision,2300,400,no change,Collision,0
Jun,Jun,Male,Policy Holder,Sedan - Liability,2301,400,no change,Liability,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2302,400,no change,Liability,0
Dec,Dec,Male,Policy Holder,Sedan - Liability,2303,400,no change,Liability,0
Sep,Oct,Male,Policy Holder,Sedan - Liability,2304,400,no change,Liability,0
Aug,Sep,Male,Policy Holder,Sedan - Collision,2305,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,2306,400,no change,Liability,0
Mar,Mar,Male,Policy Holder,Utility - All Perils,2307,400,no change,All Perils,0
Jan,Jan,Male,Policy Holder,Sedan - Liability,2308,400,no change,Liability,0
Dec,Dec,Male,Third Party,Sedan - Collision,2309,400,no change,Collision,0
Sep,Sep,Male,Policy Holder,Sedan - Liability,2310,400,no change,Liability,0
Oct,Oct,Female,Policy Holder,Sedan - Collision,2311,400,4 to 8 years,Collision,0
Mar,Apr,Male,Third Party,Sport - Collision,2312,400,no change,Collision,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,2313,400,no change,Liability,0
Mar,Apr,Female,Policy Holder,Sport - Collision,2314,400,no change,Collision,1
Mar,Mar,Male,Third Party,Sedan - All Perils,2315,400,no change,All Perils,0
Jun,Jun,Male,Policy Holder,Sedan - Collision,2316,400,no change,Collision,0
May,Jun,Male,Policy Holder,Sedan - Collision,2317,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - All Perils,2318,400,no change,All Perils,1
Jan,Jan,Female,Third Party,Sedan - Collision,2319,400,no change,Collision,0
Jan,Jan,Male,Policy Holder,Sedan - All Perils,2320,400,no change,All Perils,0
Dec,Mar,Male,Policy Holder,Sedan - Collision,2321,400,no change,Collision,0
Jan,Feb,Male,Policy Holder,Sedan - All Perils,2322,400,no change,All Perils,0
Sep,Apr,Male,Policy Holder,Sedan - Liability,2323,400,no change,Liability,0
Nov,Nov,Male,Policy Holder,Sedan - Collision,2324,400,no change,Collision,0
Nov,Nov,Male,Policy Holder,Sedan - Liability,2325,400,no change,Liability,0
Dec,Nov,Male,Policy Holder,Sedan - Collision,2326,400,no change,Collision,0
Oct,Nov,Female,Third Party,Sedan - Collision,2327,400,no change,Collision,0
Oct,Nov,Female,Third Party,Sedan - Collision,2328,400,no change,Collision,0
Oct,Dec,Female,Policy Holder,Sedan - Liability,2329,400,no change,Liability,0
Aug,Aug,Male,Policy Holder,Sedan - Liability,2330,400,no change,Liability,0
Aug,Aug,Male,Third Party,Sedan - All Perils,2331,400,no change,All Perils,0
Jul,Nov,Female,Third Party,Sedan - All Perils,2332,400,4 to 8 years,All Perils,0
Jul,Jul,Male,Policy Holder,Sedan - Liability,2333,400,no change,Liability,0
May,May,Male,Policy Holder,Sedan - Collision,2334,400,no change,Collision,0
May,May,Male,Policy Holder,Sedan - Liability,2335,400,no change,Liability,0
Apr,May,Male,Third Party,Sedan - All Perils,2336,400,no change,All Perils,0
Apr,May,Male,Policy Holder,Sedan - All Perils,2337,400,no change,All Perils,0
Apr,Apr,Male,Policy Holder,Sedan - Collision,2338,400,no change,Collision,0
Mar,Apr,Male,Policy Holder,Sedan - Collision,2339,400,no change,Collision,1
Mar,Apr,Male,Policy Holder,Sedan - Collision,2340,400,no change,Collision,1
